Position,Song,Artist,Country of Origin,Year
90,Got Love ,Thundamentals featuring Solo , Australia,2014
91,Fever ,The Black Keys , United States,2014
92,Talk Talk ,George Maple , Australia,2014
93,Georgia ,Vance Joy , Australia,2014
94,Liquorlip Loaded Gun ,Sticky Fingers , Australia,2014
95,So Soldier ,#1 Dads featuring Ainslie Wills , Australia,2014
96,"Paranoia, Ghosts & Other Sounds ",SAFIA , Australia,2014
97,Between Friends ,Japanese Wallpaper featuring Jesse Davidson , Australia,2014
98,Luna ,Bombay Bicycle Club , United Kingdom,2014
99,Brain ,Banks , United States,2014
100,Your Graduation ,Modern Baseball , United States,2014
1,Riptide ,Vance Joy , Australia,2013
2,Royals ,Lorde , New Zealand,2013
3,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk featuring Pharrell Williams , France and  United States,2013
4,Do I Wanna Know? ,Arctic Monkeys , United Kingdom,2013
5,Drop the Game ,Flume and Chet Faker , Australia,2013
6,Why'd You Only Call Me When You're High? ,Arctic Monkeys , United Kingdom,2013
7,Lanterns ,Birds of Tokyo , Australia,2013
8,Resolution ,Matt Corby , Australia,2013
9,Is This How You Feel? ,The Preatures , Australia,2013
10,Strong ,London Grammar , United Kingdom,2013
11,The Wire ,Haim , United States,2013
12,Tennis Court ,Lorde , New Zealand,2013
13,Retrograde ,James Blake , United Kingdom,2013
14,Covered in Chrome ,Violent Soho , Australia,2013
15,Team ,Lorde , New Zealand,2013
16,Reflektor ,Arcade Fire , Canada,2013
17,Lose Yourself to Dance ,Daft Punk featuring Pharrell Williams , France and  United States,2013
18,Arabella ,Arctic Monkeys , United Kingdom,2013
19,Given The Chance ,The Kite String Tangle , Australia,2013
20,Black Skinhead ,Kanye West , United States,2013
21,Take Me ,Rüfüs , Australia,2013
22,Young and Beautiful ,Lana Del Rey , United States,2013
23,When A Fire Starts To Burn ,Disclosure , United Kingdom,2013
24,Waiting All Night (feat. Ella Eyre),Rudimental featuring Ella Eyre , United Kingdom,2013
25,Your Body Is a Weapon ,The Wombats , United Kingdom,2013
26,Step ,Vampire Weekend , United States,2013
27,Falling ,Haim , United States,2013
28,Recover ,Chvrches , United Kingdom,2013
29,My Number ,Foals , United Kingdom,2013
30,Alive ,Empire of the Sun , Australia,2013
31,Diane Young ,Vampire Weekend , United States,2013
32,Smiles Don't Lie ,Thundamentals , Australia,2013
33,Ways To Go ,Grouplove , United States,2013
34,Desert Night ,Rüfüs , Australia,2013
35,Hey Now ,London Grammar , United Kingdom,2013
36,Ratchet ,Bloc Party , United Kingdom,2013
37,Gun ,Chvrches , United Kingdom,2013
38,Pizza Guy ,Touch Sensitive , Australia,2013
39,Get Lucky (Like a Version) ,San Cisco , Australia,2013
40,Born To Die ,The Amity Affliction (Lana Del Rey cover) , Australia,2013
41,Southern Sun ,Boy & Bear , Australia,2013
42,White Lies ,Max Frost , United States,2013
43,3005,Childish Gambino , United States,2013
44,The Breach ,Dustin Tebbutt , Australia,2013
45,Global Concepts ,Robert DeLong , United States,2013
46,If I Had A Tail ,Queens of the Stone Age , United States,2013
47,Free (feat. Emeli Sandé),Rudimental featuring Emeli Sandé , United Kingdom,2013
48,Stand Still ,Flight Facilities featuring Micky Green , Australia,2013
49,Doin' It Right ,Daft Punk featuring Panda Bear , France and  United States,2013
50,Love Me Again ,John Newman , United Kingdom,2013
51,"Eat, Sleep, Rave, Repeat - Main Vocal Mix",Fatboy Slim and Riva Starr featuring Beardyman , United Kingdom,2013
52,Scar ,Cloud Control , Australia,2013
53,Ohio ,Kingswood , Australia,2013
54,Afterlife ,Arcade Fire , Canada,2013
55,Harlequin Dream ,Boy & Bear , Australia,2013
56,If I Could Change Your Mind ,Haim , United States,2013
57,Keep On Running ,Andy Bull , Australia,2013
58,Instant Crush ,Daft Punk featuring Julian Casablancas , France and  United States,2013
59,Bound 2 ,Kanye West , United States,2013
60,Lies ,Chvrches , United Kingdom,2013
61,Wasting My Young Years ,London Grammar , United Kingdom,2013
62,Embrace ,Goldroom featuring Ariela Jacobs , United States and  Australia,2013
63,You & Me,Disclosure featuring Eliza Doolittle , United Kingdom and  Australia,2013
64,Graceless ,The National , United States,2013
65,Melt ,Chet Faker featuring Kilo Kish , Australia and  United States,2013
66,Ausmusic Month Medley (Like a Version) ,Illy , Australia,2013
67,What Doesn't Kill You ,Jake Bugg , United Kingdom,2013
68,One for the Road ,Arctic Monkeys , United Kingdom,2013
69,White Noise ,Disclosure featuring AlunaGeorge , United Kingdom,2013
70,Australia Street ,Sticky Fingers , Australia,2013
71,Changing Of The Seasons ,Two Door Cinema Club , Ireland,2013
72,I Sat By The Ocean ,Queens of the Stone Age , United States,2013
73,Thank You ,"Busta Rhymes featuring Q-Tip, Kanye West and Lil Wayne ", United States,2013
74,Jessica [feat. Ezra Koenig],Major Lazer featuring Ezra Koenig , United States,2013
75,I Spy ,Mikhael Paskalev , Norway,2013
76,"Listen To Soul, Listen To Blues ",SAFIA , Australia,2013
77,Youngbloods - feat. Ahren Stringer,Illy featuring Ahren Stringer , Australia,2013
78,Fantasy ,MS MR , United States,2013
79,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky featuring 2 Chainz, Drake and Kendrick Lamar ", United States and  Canada,2013
80,Always ,Panama , Australia,2013
81,Baby I Am Nobody Now ,Andy Bull , Australia,2013
82,Dojo Rising ,Cloud Control , Australia,2013
83,Hearts Like Ours ,The Naked and Famous , New Zealand,2013
84,Blood on the Leaves ,Kanye West , United States,2013
85,Do or Die ,Flux Pavilion featuring Childish Gambino , United Kingdom and  United States,2013
86,Sleepwalking ,Bring Me the Horizon , United Kingdom,2013
87,Miracle Mile ,Cold War Kids , United States,2013
88,Borderlines and Aliens ,Grouplove , United States,2013
89,Brighter Than Gold ,The Cat Empire , Australia,2013
90,Unbelievers ,Vampire Weekend , United States,2013
91,Tonight ,Rüfüs , Australia,2013
92,Shadow Moses ,Bring Me the Horizon , United Kingdom,2013
93,Elevate ,St. Lucia , United States and  South Africa,2013
94,When I Was Young ,Blink-182 , United States,2013
95,Play with Fire ,Vance Joy , Australia,2013
96,Oh Sailor ,Mr Little Jeans featuring The Silverlake Conservatory of Music Youth Chorale , Norway and  United States,2013
97,My God Is the Sun ,Queens of the Stone Age , United States,2013
98,Dead Star Shine ,Horrorshow , Australia,2013
99,Without You ,Dillon Francis featuring Totally Enormous Extinct Dinosaurs , United States and  United Kingdom,2013
100,We Are ,Karnivool , Australia,2013
1,Thrift Shop (feat. Wanz),Macklemore and Ryan Lewis featuring Wanz , United States,2012
2,Little Talks ,Of Monsters and Men , Iceland,2012
3,Breezeblocks ,alt-J , United Kingdom,2012
4,Holdin On ,Flume , Australia,2012
5,I Will Wait ,Mumford & Sons , United Kingdom,2012
6,Get Free ,Major Lazer featuring Amber Coffman , United States,2012
7,Elephant ,Tame Impala , Australia,2012
8,Lost ,Frank Ocean , United States,2012
9,Feels Like We Only Go Backwards ,Tame Impala , Australia,2012
10,My Gun ,The Rubens , Australia,2012
11,Sweet Nothing ,Calvin Harris featuring Florence Welch , United Kingdom,2012
12,Sleepless (feat. Jezzabell Doran),Flume featuring Jezzabell Doran , Australia,2012
13,Gold on the Ceiling ,The Black Keys , United States,2012
14,I Love It (feat. Charli XCX) - Original Version,Icona Pop featuring Charli XCX , Sweden and  United Kingdom,2012
15,Same Love - feat. Mary Lambert,Macklemore and Ryan Lewis featuring Mary Lambert , United States,2012
16,Not Giving In - feat. John Newman & Alex Clare [Radio Edit],Rudimental featuring John Newman and Alex Clare , United Kingdom,2012
17,Clair de Lune ,Flight Facilities featuring Christine Hoberg , Australia and  United States,2012
18,HyperParadise - Flume Remix,Hermitude , Australia,2012
19,Angels ,The xx , United Kingdom,2012
20,Feel the Love (feat. John Newman),Rudimental featuring John Newman , United Kingdom,2012
21,Latch ,Disclosure featuring Sam Smith , United Kingdom,2012
22,Trembling Hands ,The Temper Trap , Australia,2012
23,Coming Down ,Ball Park Music , Australia,2012
24,I'm Into You ,Chet Faker , Australia,2012
25,Bangarang (feat. Sirah),Skrillex featuring Sirah , United States,2012
26,Dear Science ,Seth Sentry , Australia,2012
27,Surrender ,Ball Park Music , Australia,2012
28,Default ,Django Django , United Kingdom,2012
29,Cherry Lips ,Loon Lake , Australia,2012
30,Laura ,Bat for Lashes , United Kingdom,2012
31,Gasoline ,Alpine , Australia,2012
32,Spectrum (Say My Name) - Calvin Harris Remix,Florence and the Machine , United Kingdom,2012
33,Can<U+0092>t Get Better Than This - Radio Edit,Parachute Youth , Australia,2012
34,Born to Die ,Lana Del Rey , United States,2012
35,Run Alone ,360, Australia,2012
36,Paddling Out ,Miike Snow , Sweden,2012
37,Sun ,Two Door Cinema Club , United Kingdom,2012
38,Oblivion ,Grimes , Canada,2012
39,Hold On ,Alabama Shakes , United States,2012
40,R U Mine? ,Arctic Monkeys , United Kingdom,2012
41,I Can Make You Love Me ,British India , Australia,2012
42,Hurricane ,MS MR , United States,2012
43,Ho Hey ,The Lumineers , United States,2012
44,Follow the Sun ,Xavier Rudd , Australia,2012
45,Young and Dumb (feat. Bertie Blackman),Chance Waters featuring Bertie Blackman , Australia,2012
46,Take a Walk ,Passion Pit , United States,2012
47,Mountain Sound ,Of Monsters and Men , Iceland,2012
48,Fred Astaire ,San Cisco , Australia,2012
49,Brother (Like a Version) ,Thundamentals , Australia,2012
50,My Heart Is on Fire ,Asta , Australia,2012
51,This Fire ,Birds of Tokyo , Australia,2012
52,Ghosts ,The Presets , Australia,2012
53,Wild Things ,San Cisco , Australia,2012
54,I Got Burned ,The Bamboos featuring Tim Rogers , Australia,2012
55,Internet Friends ,Knife Party , Australia,2012
56,Thinkin Bout You ,Frank Ocean , United States,2012
57,Float Away ,Seth Sentry , Australia,2012
58,Babel ,Mumford & Sons , United Kingdom,2012
59,Love This ,Cosmo Jarvis , United Kingdom,2012
60,Love Interruption ,Jack White , United States,2012
61,Caress Your Soul ,Sticky Fingers , Australia,2012
62,Just What I Am ,Kid Cudi featuring King Chip , United States,2012
63,Wolf ,First Aid Kit , Sweden,2012
64,Tessellate ,alt-J , United Kingdom,2012
65,Genesis ,Grimes , Canada,2012
66,The Best We Got ,The Rubens , Australia,2012
67,On Top feat. T.Shirt,Flume featuring T.Shirt , Australia and  United States,2012
68,Silhouettes - Original Radio Edit,Avicii , Sweden,2012
69,Lonely Boy (Like a Version) ,Matt Corby , Australia,2012
70,Promises ,The Presets , Australia,2012
71,Swimming Pools (Drank) ,Kendrick Lamar , United States,2012
72,All the Rowboats ,Regina Spektor , United States,2012
73,Draw A Crowd ,Ben Folds Five , United States,2012
74,Simple Song ,The Shins , United States,2012
75,Madness ,Muse , United Kingdom,2012
76,Heard It All ,Illy , Australia,2012
77,Love Is All I Got ,Feed Me and Crystal Fighters , United Kingdom,2012
78,Household Goods ,Totally Enormous Extinct Dinosaurs , United Kingdom,2012
79,Little Black Submarines - radio edit,The Black Keys , United States,2012
80,Super Rich Kids ,Frank Ocean featuring Earl Sweatshirt , United States,2012
81,Something Good ,alt-J , United Kingdom,2012
82,Disparate Youth ,Santigold , United States,2012
83,She's a Riot ,The Jungle Giants , Australia,2012
84,Rattling The Keys To The Kingdom ,Hilltop Hoods , Australia,2012
85,Fineshrine ,Purity Ring , Canada,2012
86,Summertime Sadness ,Lana Del Rey , United States,2012
87,Chronicles Of A Fallen Love ,The Bloody Beetroots featuring Greta Svabo Bech , Italy and  Faroe Islands,2012
88,Down the Road ,C2C , France,2012
89,Maybe Tomorrow (feat. Lillian Blue),Chance Waters featuring Lilian Blue , Australia,2012
90,Sleep Alone ,Two Door Cinema Club , United Kingdom,2012
91,So Good ,Allday , Australia,2012
92,Spiritus ,Lisa Mitchell , Australia,2012
93,Dance Bear ,Snakadaktal , Australia,2012
94,45,The Gaslight Anthem , United States,2012
95,Andy ,Last Dinosaurs , Australia,2012
96,Clique ,Kanye West featuring Big Sean and Jay Z , United States,2012
97,I'm Shakin' ,Jack White , United States,2012
98,Warrior ,Kimbra featuring Mark Foster and A-Trak ," New Zealand,  United States and  Canada",2012
99,Bad Girls ,M.I.A. , United Kingdom,2012
100,Cough Cough ,Everything Everything , United Kingdom,2012
1,Somebody That I Used To Know ,Gotye featuring Kimbra , Australia and  New Zealand,2011
2,Lonely Boy ,The Black Keys , United States,2011
3,Brother ,Matt Corby , Australia,2011
4,Feeding Line ,Boy & Bear , Australia,2011
5,Midnight City ,M83 , France,2011
6,Video Games ,Lana Del Rey , United States,2011
7,Awkward ,San Cisco , Australia,2011
8,Boys Like You ,360 featuring Gossling , Australia,2011
9,Endless Summer ,The Jezabels , Australia,2011
10,I Love It ,Hilltop Hoods featuring Sia , Australia,2011
11,Feel So Close - Radio Edit,Calvin Harris , United Kingdom,2011
12,Contact High ,Architecture in Helsinki , Australia,2011
13,Shake It Out ,Florence and the Machine , United Kingdom,2011
14,Call It What You Want ,Foster the People , United States,2011
15,Helena Beat ,Foster the People , United States,2011
16,Tongue Tied ,Grouplove , United States,2011
17,Even Though I'm A Woman ,Seeker Lover Keeper , Australia,2011
18,Jump into the Fog ,The Wombats , United Kingdom,2011
19,Promises ,Nero , United Kingdom,2011
20,Act Yr Age ,Bluejuice , Australia,2011
21,Scary Monsters and Nice Sprites ,Skrillex , United States,2011
22,Air ,Snakadaktal , Australia,2011
23,Jungle ,Emma Louise , Australia,2011
24,1996,The Wombats , United Kingdom,2011
25,Cameo Lover ,Kimbra , New Zealand,2011
26,Techno Fan ,The Wombats , United Kingdom,2011
27,Changed The Way You Kiss Me ,Example , United Kingdom,2011
28,Owl Eyes - Pumped Up Kicks,Owl Eyes , Australia,2011
29,Sing It (The Life Of Riley) ,Drapht , Australia,2011
30,Bounce - Radio Edit,Calvin Harris featuring Kelis , United Kingdom,2011
31,It's Nice to Be Alive ,Ball Park Music , Australia,2011
32,L.I.F.E.G.O.E.S.O.N. ,Noah and the Whale , United Kingdom,2011
33,Otis ,Jay Z and Kanye West , United States,2011
34,I Feel Better ,Gotye , Australia,2011
35,Cigarettes (ft. Hue Blanes),Illy , Australia,2011
36,"No Light, No Light ",Florence and the Machine , United Kingdom,2011
37,Killer ,360, Australia,2011
38,All I Want Is You ,Ball Park Music , Australia,2011
39,Cinema (Skrillex Remix) [feat. Gary Go],Benny Benassi featuring Gary Go ," Italy,  United Kingdom and  United States",2011
40,Houdini ,Foster the People , United States,2011
41,Under Cover Of Darkness ,The Strokes , United States,2011
42,What The Water Gave Me ,Florence and the Machine , United Kingdom,2011
43,Itchin' on a Photograph ,Grouplove , United States,2011
44,Speak Of The Devil ,Hermitude , Australia,2011
45,Junk Of The Heart (Happy) ,The Kooks , United Kingdom,2011
46,Hanging On ,Active Child , United States,2011
47,Mary ,Sparkadia , Australia,2011
48,A.I.M. Fire! ,Art vs. Science , Australia,2011
49,Milk & Sticks ,Boy & Bear , Australia,2011
50,Part Time Believer ,Boy & Bear , Australia,2011
51,Money ,The Drums , United States,2011
52,Good Intent ,Kimbra , New Zealand,2011
53,Holocene ,Bon Iver , United States,2011
54,Turn Me On ,The Grates , Australia,2011
55,Escapee ,Architecture in Helsinki , Australia,2011
56,China ,Sparkadia , Australia,2011
57,Lay It Down ,The Rubens , Australia,2011
58,I Follow Rivers ,Lykke Li , Sweden,2011
59,Holy Moses ,Washington , Australia,2011
60,Gabriel ,Joe Goddard featuring Valentina , United Kingdom,2011
61,Lotus Flower ,Radiohead , United Kingdom,2011
62,Black Water Rising ,Stonefield , Australia,2011
63,Rope ,Foo Fighters , United States,2011
64,Raiders ,Owl Eyes , Australia,2011
65,Re-Wired ,Kasabian , United Kingdom,2011
66,Perth ,Bon Iver , United States,2011
67,Zimbabwe ,New Navy , Australia,2011
68,Don't Sit Down 'Cause I've Moved Your Chair ,Arctic Monkeys , United Kingdom,2011
69,Calgary ,Bon Iver , United States,2011
70,She's Like A Comet ,Jebediah , Australia,2011
71,Arnold ,Luke Million , Australia,2011
72,Foreign Language - Flight Facilities Extended Mix,Flight Facilities featuring Jess Higgs , Australia,2011
73,First of the Year (Equinox) ,Skrillex , United States,2011
74,Bali Party (feat. NFA),Drapht featuring N'fa , Australia,2011
75,Shot Yourself In The Foot Again ,Example and Skream , United Kingdom,2011
76,Dreamshaker ,Redcoats , Australia,2011
77,The Look ,Metronomy , United Kingdom,2011
78,History's Door ,Husky , Australia,2011
79,Wildfire ,SBTRKT featuring Little Dragon , United Kingdom and  Sweden,2011
80,The Truth ,Pnau , Australia,2011
81,Biding My Time ,Busby Marou , Australia,2011
82,Ritual Union ,Little Dragon , Sweden,2011
83,Future Starts Slow ,The Kills , United Kingdom and  United States,2011
84,Throw It Away ,360 featuring Josh Pyke , Australia,2011
85,Gay Pirates - Radio Edit,Cosmo Jarvis , United Kingdom,2011
86,Light All My Lights ,Seeker Lover Keeper , Australia,2011
87,In Your Light ,Gotye , Australia,2011
88,Shuffle ,Bombay Bicycle Club , United Kingdom,2011
89,Santa Fe ,Beirut , United States,2011
90,Make Some Noise ,Beastie Boys , United States,2011
91,Fragile Bird ,City and Colour , Canada,2011
92,The Wilhelm Scream ,James Blake , United Kingdom,2011
93,Two Way Street ,Kimbra , New Zealand,2011
94,Our Perfect Disease ,The Wombats , United Kingdom,2011
95,Naked Kids - EP Verion,Grouplove , United States,2011
96,Machu Picchu ,The Strokes , United States,2011
97,Arlandria ,Foo Fighters , United States,2011
98,Ni**as in Paris ,Jay-Z and Kanye West , United States,2011
99,You Should Consider Having Sex with a Bearded Man ,The Beards , Australia,2011
100,The Suburbs ,Mr Little Jeans , Norway,2011
1,Big Jet Plane ,Angus & Julia Stone , Australia,2010
2,Rock It ,Little Red , Australia,2010
3,Dance The Way I Feel ,Ou Est le Swimming Pool , United Kingdom,2010
4,Plans ,Birds of Tokyo , Australia,2010
5,Fall At Your Feet ,Boy & Bear , Australia,2010
6,Teenage Crime - Radio Edit,Adrian Lux , Sweden,2010
7,Fuck You ,CeeLo Green , United States,2010
8,Tokyo - Vampires & Wolves; Main Version,The Wombats , United Kingdom,2010
9,Magic Fountain ,Art vs. Science , Australia,2010
10,Somebody to Love Me ,Mark Ronson & The Business Intl. featuring Boy George and Andrew Wyatt , United Kingdom /  United States,2010
11,ABC News Theme (Pendulum Remix) ,Peter Wall & Tony Ansell , Australia,2010
12,Rapunzel ,Drapht , Australia,2010
13,Clap Your Hands ,Sia , Australia,2010
14,Runaway ,Kanye West featuring Pusha T , United States,2010
15,Barbra Streisand - Radio Edit,Duck Sauce , United Kingdom,2010
16,Mace Spray ,The Jezabels , Australia,2010
17,Bang Bang Bang ,Mark Ronson & The Business Intl. featuring Q-Tip & MNDR , United Kingdom /  United States,2010
18,There's Nothing In The Water We Can't Fight ,Cloud Control , Australia,2010
19,Crave You Ft Giselle,Flight Facilities featuring Giselle Rosselli , Australia,2010
20,Sunday Best ,Washington , Australia,2010
21,Undercover Martyn ,Two Door Cinema Club , United Kingdom,2010
22,Jellylegs ,Children Collide , Australia,2010
23,Addicted ,Bliss n Eso , Australia,2010
24,Talking Like I'm Falling Down Stairs ,Sparkadia , Australia,2010
25,Eyes Wide Open ,Gotye , Australia,2010
26,Not In Love ,Crystal Castles featuring Robert Smith , Canada /  United Kingdom,2010
27,You Got The Dirtee Love - Live At The Brit Awards 2010 ,Florence + The Machine & Dizzee Rascal , United Kingdom,2010
28,Radar Detector ,Darwin Deez , United States,2010
29,It Can Wait (ft Owl Eyes),Illy featuring Owl Eyes , Australia,2010
30,O.N.E. ,Yeasayer , United States,2010
31,Bloodbuzz Ohio ,The National , United States,2010
32,Pumped Up Kicks ,Foster the People , United States,2010
33,Solitude Is Bliss ,Tame Impala , Australia,2010
34,Punching In A Dream ,The Naked and Famous , New Zealand,2010
35,The Bike Song ,Mark Ronson & The Business Intl. featuring Kyle Falconer & Spank Rock , United Kingdom /  United States,2010
36,Opposite Of Adults ,Chiddy Bang , United States,2010
37,Doncamatic (feat. Daley),Gorillaz , United States,2010
38,Young Blood ,The Naked and Famous , New Zealand,2010
39,Revolution ,John Butler Trio , Australia,2010
40,"Baby, I'm Gettin' Better ",Gyroscope , Australia,2010
41,Down By The River ,Bliss n Eso , Australia,2010
42,On Melancholy Hill ,Gorillaz , United Kingdom,2010
43,We No Speak Americano - Radio Edit,Yolanda Be Cool & DCUP , Australia,2010
44,Baptism ,Crystal Castles , Canada,2010
45,Rabbit Song ,Boy & Bear , Australia,2010
46,Way Back Home ,Bag Raiders , Australia,2010
47,Wild At Heart ,Birds of Tokyo , Australia,2010
48,Witchcraft ,Pendulum , Australia,2010
49,Easy to Love ,The Jezabels , Australia,2010
50,One Life Stand ,Hot Chip , United Kingdom,2010
51,Ambling Alp ,Yeasayer , United States,2010
52,Overpass ,The John Steel Singers , Australia,2010
53,Reflections ,Bliss n Eso , Australia,2010
54,Holidays - ft Alan Palomo,Miami Horror featuring Alan Palomo , Australia /  United States,2010
55,Giving Up the Gun ,Vampire Weekend , United States,2010
56,Bring Night ,Sia , Australia,2010
57,Kickstarts ,Example , United Kingdom,2010
58,The Suburbs ,Arcade Fire , Canada,2010
59,Rich Kids ,Washington , Australia,2010
60,My Eagle ,Children Collide , Australia,2010
61,Jackson's Last Stand ,Ou Est le Swimming Pool , United Kingdom,2010
62,Hold On ,Angus & Julia Stone , Australia,2010
63,Ready To Start ,Arcade Fire , Canada,2010
64,Jona Vark ,Gypsy & The Cat , Australia,2010
65,One Step ,Dead Letter Circus , Australia,2010
66,Audience ,Cold War Kids , United States,2010
67,Holiday ,Vampire Weekend , United States,2010
68,Dog ,Andy Bull featuring Lisa Mitchell , Australia /  United Kingdom,2010
69,Watercolour ,Pendulum , Australia,2010
70,Paper Romance ,Groove Armada featuring Fenech-Soler & Saint Saviour , United Kingdom,2010
71,The Piper's Song ,Gypsy & The Cat , Australia,2010
72,I Can Talk ,Two Door Cinema Club , United Kingdom,2010
73,Time to Wander ,Gypsy & The Cat , Australia,2010
74,Lucidity ,Tame Impala , Australia,2010
75,Coming Around ,Hungry Kids of Hungary , Australia,2010
76,Radioactive ,Kings of Leon , United States,2010
77,Shutterbugg ,Big Boi featuring Cutty Cartel , United Kingdom,2010
78,Stylo (feat. Mos Def and Bobby Womack),Gorillaz featuring Bobby Womack & Mos Def , United Kingdom /  United States,2010
79,Slow Motion ,Little Red , Australia,2010
80,Howlin' for You ,The Black Keys , United States,2010
81,Echoes ,Klaxons , United Kingdom,2010
82,Tighten Up ,The Black Keys , United States,2010
83,Modern Man ,Arcade Fire , Canada,2010
84,The Hardest Part ,Washington , Australia,2010
85,I Feel Better ,Hot Chip , United Kingdom,2010
86,Queensland ,Evil Eddie , Australia,2010
87,The Saddest Thing I Know ,Birds of Tokyo , Australia,2010
88,Monster ,"Kanye West featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj ", United States,2010
89,Barricade ,Interpol , United States,2010
90,Finally See Our Way ,Art vs. Science , Australia,2010
91,Northcote (So Hungover) ,The Bedroom Philosopher , Australia,2010
92,I Can Change ,LCD Soundsystem , United States,2010
93,Anyone's Ghost ,The National , United States,2010
94,Time to Smile ,Xavier Rudd , Australia,2010
95,The High Road ,Broken Bells , United States,2010
96,Go Do ,Jónsi , Iceland,2010
97,Sleepwalker ,Parkway Drive , Australia,2010
98,Spanish Sahara ,Foals , United Kingdom,2010
99,Big ,Dead Letter Circus , Australia,2010
100,Neutron Star Collision (Love Is Forever)  - Soundtrack Version,Muse , United Kingdom,2010
1,Little Lion Man,Mumford & Sons , United Kingdom,2009
2,Parlez-Vous Francais,Art vs. Science , Australia,2009
3,Chase That Feeling ,Hilltop Hoods , Australia,2009
4,Lisztomania ,Phoenix , France,2009
5,Broken Leg ,Bluejuice , Australia,2009
6,Bulletproof ,La Roux , United Kingdom,2009
7,Coin Laundry ,Lisa Mitchell , Australia,2009
8,Not Fair ,Lily Allen , United Kingdom,2009
9,Uprising ,Muse , United Kingdom,2009
10,Dog Days Are Over ,Florence and the Machine , United Kingdom,2009
11,Heads Will Roll ,Yeah Yeah Yeahs , United States,2009
12,Bonkers ,Dizzee Rascal , United Kingdom,2009
13,1901,Phoenix , France,2009
14,Sticks 'N' Stones ,Jamie T , United Kingdom,2009
15,Home ,Edward Sharpe and the Magnetic Zeros , United States,2009
16,Heavy Cross ,Gossip , United States,2009
17,Fire ,Kasabian , United Kingdom,2009
18,Shooting Stars ,Bag Raiders , Australia,2009
19,Undisclosed Desires ,Muse , United Kingdom,2009
20,Sleepyhead ,Passion Pit , United States,2009
21,Fader ,The Temper Trap , Australia,2009
22,Cousins ,Vampire Weekend , United States,2009
23,Warp 1.9 FT Steve Aoki,The Bloody Beetroots featuring Steve Aoki , Italy and  United States,2009
24,Carol Brown ,Flight of the Conchords , New Zealand,2009
25,Zero ,Yeah Yeah Yeahs , United States,2009
26,Help I'm Alive ,Metric , Canada,2009
27,In For The Kill ,La Roux , United Kingdom,2009
28,We Won't Run ,Sarah Blasko , Australia,2009
29,All I Want ,Sarah Blasko , Australia,2009
30,Hurt Feelings ,Flight of the Conchords , New Zealand,2009
31,The Waitress Song ,Seth Sentry , Australia,2009
32,Ramona Was a Waitress ,Paul Dempsey , Australia,2009
33,Pursuit Of Happiness (Nightmare) ,Kid Cudi featuring MGMT and Ratatat , United States,2009
34,Brother ,Little Birdy , Australia,2009
35,Resistance ,Muse , United Kingdom,2009
36,(If You're Wondering If I Want You To) I Want You To ,Weezer , United States,2009
37,Still Standing ,Hilltop Hoods , Australia,2009
38,Little Secrets ,Passion Pit , United States,2009
39,One Way Road ,John Butler Trio , Australia,2009
40,And the Boys ,Angus & Julia Stone , Australia,2009
41,Audacity Of Huge ,Simian Mobile Disco featuring Chris Keating , United Kingdom and  United States,2009
42,Vanilla ,British India , Australia,2009
43,Awesome ,The Bloody Beetroots featuring The Cool Kids , Italy and  United States,2009
44,Rabbit Heart (Raise It Up) ,Florence and the Machine , United Kingdom,2009
45,Drumming Song ,Florence and the Machine , United Kingdom,2009
46,Blood Bank ,Bon Iver , United States,2009
47,Set Fire to the Hive ,Karnivool , Australia,2009
48,Science of Fear ,The Temper Trap , Australia,2009
49,All Of The Dreamers ,Powderfinger , Australia,2009
50,Buttons - CSS Remix,Sia , Australia and  Brazil,2009
51,Where Did All the Love Go? ,Kasabian , United Kingdom,2009
52,Horchata ,Vampire Weekend , United States,2009
53,Animal ,Miike Snow , Sweden,2009
54,Crying Lightning ,Arctic Monkeys , United Kingdom,2009
55,No You Girls ,Franz Ferdinand , United Kingdom,2009
56,Islands ,The xx , United Kingdom,2009
57,The Good News ,Philadelphia Grand Jury , Australia,2009
58,Love Lost ,The Temper Trap , Australia,2009
59,I'm Not Alone - Radio Edit,Calvin Harris , United Kingdom,2009
60,22,Lily Allen , United Kingdom,2009
61,Two Weeks ,Grizzly Bear , United States,2009
62,One More Chance - Original version,Bloc Party , United Kingdom,2009
63,All I Know ,Karnivool , Australia,2009
64,Blood ,The Middle East , Australia,2009
65,Foreign Land ,Eskimo Joe , Australia,2009
66,Pictures ,Illy , Australia,2009
67,Cement ,Washington , Australia,2009
68,O ,The Prodigy , United Kingdom,2009
69,Meet Me On The Equinox ,Death Cab for Cutie , United States,2009
70,My Girls ,Animal Collective , United States,2009
71,Byrds of Prey ,Bertie Blackman , Australia,2009
72,You've Changed ,Sia , Australia,2009
73,Heartbreaker ,MSTRKRFT featuring John Legend , Canada and  United States,2009
74,Friend in the Field ,Art vs. Science , Australia,2009
75,New Moon Rising ,Wolfmother , Australia,2009
76,11th Dimension ,Julian Casablancas , United States,2009
77,She's A Genius ,Jet , Australia,2009
78,Remember Me ,Tame Impala , Australia,2009
79,Getting Wise ,Yves Klein Blue , Australia,2009
80,Holiday ,Dizzee Rascal , United Kingdom,2009
